Date,Country,Conflict,Event_Type,Fatalities,Source,Summary,Latitude,Longitude
2023-01-01,Myanmar,Myanmar Conflict,Missile Strike,33,Al Jazeera,Missile Strike reported in Myanmar related to Myanmar Conflict.,21.1342,96.2032
2023-01-01,Myanmar,Myanmar Conflict,Drone Attack,25,The Guardian,Drone Attack reported in Myanmar related to Myanmar Conflict.,21.3402,95.2146
2023-01-18,Myanmar,Myanmar Conflict,Ground Combat,28,Associated Press,Ground Combat reported in Myanmar related to Myanmar Conflict.,21.1504,95.0739
2023-02-03,Myanmar,Myanmar Conflict,Airstrike,37,BBC,Airstrike reported in Myanmar related to Myanmar Conflict.,21.4103,96.4058
2023-02-05,Myanmar,Myanmar Conflict,Drone Attack,30,Reuters,Drone Attack reported in Myanmar related to Myanmar Conflict.,21.6601,95.5623
2023-02-09,Sudan,Sudan Civil War,Drone Attack,31,The Guardian,Drone Attack reported in Sudan related to Sudan Civil War.,12.2701,29.2294
2023-02-12,Ukraine,Russia-Ukraine War,Cyber Operation,0,The Guardian,Cyber Operation reported in Ukraine related to Russia-Ukraine War.,48.3099,31.0592
2023-02-23,Myanmar,Myanmar Conflict,Ground Combat,41,The Guardian,Ground Combat reported in Myanmar related to Myanmar Conflict.,21.7195,95.5117
2023-02-25,Sudan,Sudan Civil War,Political Negotiation,16,BBC,Political Negotiation reported in Sudan related to Sudan Civil War.,12.6586,31.0512
2023-02-26,Sudan,Sudan Civil War,Airstrike,71,The Guardian,Airstrike reported in Sudan related to Sudan Civil War.,11.9841,29.7551
2023-03-01,Myanmar,Myanmar Conflict,Drone Attack,15,Al Jazeera,Drone Attack reported in Myanmar related to Myanmar Conflict.,22.3706,95.7884
2023-03-02,Myanmar,Myanmar Conflict,Airstrike,24,Associated Press,Airstrike reported in Myanmar related to Myanmar Conflict.,22.7278,96.5241
2023-03-05,Myanmar,Myanmar Conflict,Airstrike,0,Al Jazeera,Airstrike reported in Myanmar related to Myanmar Conflict.,21.0313,96.3324
2023-03-08,Myanmar,Myanmar Conflict,Cyber Operation,0,Al Jazeera,Cyber Operation reported in Myanmar related to Myanmar Conflict.,21.8428,95.2396
2023-03-09,Myanmar,Myanmar Conflict,Political Negotiation,15,Associated Press,Political Negotiation reported in Myanmar related to Myanmar Conflict.,21.6271,95.0692
2023-03-16,Myanmar,Myanmar Conflict,Missile Strike,18,Associated Press,Missile Strike reported in Myanmar related to Myanmar Conflict.,22.2026,95.0436
2023-03-19,Myanmar,Myanmar Conflict,Ground Combat,2,BBC,Ground Combat reported in Myanmar related to Myanmar Conflict.,21.7499,96.1966
2023-03-24,Sudan,Sudan Civil War,Drone Attack,50,Reuters,Drone Attack reported in Sudan related to Sudan Civil War.,12.442,29.3705
2023-03-27,Sudan,Sudan Civil War,Missile Strike,53,Al Jazeera,Missile Strike reported in Sudan related to Sudan Civil War.,13.3389,29.616
2023-04-02,Sudan,Sudan Civil War,Ground Combat,45,Reuters,Ground Combat reported in Sudan related to Sudan Civil War.,12.0318,30.9001
2023-04-07,Myanmar,Myanmar Conflict,Airstrike,0,BBC,Airstrike reported in Myanmar related to Myanmar Conflict.,21.893,96.181
2023-04-08,Myanmar,Myanmar Conflict,Drone Attack,2,The Guardian,Drone Attack reported in Myanmar related to Myanmar Conflict.,21.1816,95.9491
2023-04-10,Myanmar,Myanmar Conflict,Cyber Operation,17,Reuters,Cyber Operation reported in Myanmar related to Myanmar Conflict.,22.058,96.0765
2023-04-19,Myanmar,Myanmar Conflict,Drone Attack,23,BBC,Drone Attack reported in Myanmar related to Myanmar Conflict.,21.9894,95.9856
2023-04-20,Myanmar,Myanmar Conflict,Airstrike,29,Reuters,Airstrike reported in Myanmar related to Myanmar Conflict.,21.3044,96.7257
2023-04-22,Myanmar,Myanmar Conflict,Cyber Operation,23,Associated Press,Cyber Operation reported in Myanmar related to Myanmar Conflict.,22.7707,96.4305
2023-04-23,Myanmar,Myanmar Conflict,Cyber Operation,5,Reuters,Cyber Operation reported in Myanmar related to Myanmar Conflict.,20.9189,95.2073
2023-04-23,Sudan,Sudan Civil War,Cyber Operation,19,BBC,Cyber Operation reported in Sudan related to Sudan Civil War.,12.4427,30.2178
2023-04-24,Sudan,Sudan Civil War,Drone Attack,33,BBC,Drone Attack reported in Sudan related to Sudan Civil War.,12.6961,30.0023
2023-04-27,Myanmar,Myanmar Conflict,Missile Strike,35,The Guardian,Missile Strike reported in Myanmar related to Myanmar Conflict.,21.0917,96.3665
2023-04-27,Sudan,Sudan Civil War,Political Negotiation,8,Al Jazeera,Political Negotiation reported in Sudan related to Sudan Civil War.,12.8996,31.0341
2023-04-28,Sudan,Sudan Civil War,Airstrike,46,Al Jazeera,Airstrike reported in Sudan related to Sudan Civil War.,13.6835,30.7561
2023-04-29,Myanmar,Myanmar Conflict,Political Negotiation,7,Reuters,Political Negotiation reported in Myanmar related to Myanmar Conflict.,21.7127,95.9305
2023-05-01,Myanmar,Myanmar Conflict,Airstrike,0,BBC,Airstrike reported in Myanmar related to Myanmar Conflict.,21.1206,95.6413
2023-05-01,Sudan,Sudan Civil War,Ground Combat,42,Al Jazeera,Ground Combat reported in Sudan related to Sudan Civil War.,12.5034,30.1874
2023-05-03,Myanmar,Myanmar Conflict,Cyber Operation,12,BBC,Cyber Operation reported in Myanmar related to Myanmar Conflict.,21.9798,96.003
2023-05-04,Myanmar,Myanmar Conflict,Cyber Operation,31,Reuters,Cyber Operation reported in Myanmar related to Myanmar Conflict.,21.4452,95.4244
2023-05-06,Myanmar,Myanmar Conflict,Cyber Operation,24,Al Jazeera,Cyber Operation reported in Myanmar related to Myanmar Conflict.,22.4946,95.7391
2023-05-12,Myanmar,Myanmar Conflict,Cyber Operation,34,BBC,Cyber Operation reported in Myanmar related to Myanmar Conflict.,21.4929,96.457
2023-05-17,Myanmar,Myanmar Conflict,Airstrike,16,Reuters,Airstrike reported in Myanmar related to Myanmar Conflict.,21.6992,96.8097
2023-05-20,Sudan,Sudan Civil War,Missile Strike,17,Associated Press,Missile Strike reported in Sudan related to Sudan Civil War.,12.0208,29.6122
2023-05-22,Myanmar,Myanmar Conflict,Airstrike,0,BBC,Airstrike reported in Myanmar related to Myanmar Conflict.,20.9807,96.375
2023-05-22,Sudan,Sudan Civil War,Drone Attack,0,Al Jazeera,Drone Attack reported in Sudan related to Sudan Civil War.,13.0175,29.9381
2023-05-23,Myanmar,Myanmar Conflict,Airstrike,37,The Guardian,Airstrike reported in Myanmar related to Myanmar Conflict.,22.9024,95.888
2023-05-23,Sudan,Sudan Civil War,Airstrike,33,Associated Press,Airstrike reported in Sudan related to Sudan Civil War.,13.7781,30.9241
2023-05-24,Yemen,Yemen Civil War,Drone Attack,20,Reuters,Drone Attack reported in Yemen related to Yemen Civil War.,14.9786,49.4646
2023-05-24,Myanmar,Myanmar Conflict,Missile Strike,31,Al Jazeera,Missile Strike reported in Myanmar related to Myanmar Conflict.,21.1006,95.6879
2023-05-25,Yemen,Yemen Civil War,Drone Attack,31,Al Jazeera,Drone Attack reported in Yemen related to Yemen Civil War.,14.9999,48.7185
2023-05-25,Ukraine,Russia-Ukraine War,Airstrike,44,Al Jazeera,Airstrike reported in Ukraine related to Russia-Ukraine War.,49.1049,31.0731
2023-05-29,Ukraine,Russia-Ukraine War,Political Negotiation,50,The Guardian,Political Negotiation reported in Ukraine related to Russia-Ukraine War.,47.9611,31.1987
2023-05-29,Myanmar,Myanmar Conflict,Missile Strike,40,BBC,Missile Strike reported in Myanmar related to Myanmar Conflict.,22.2509,96.8063
2023-05-31,Sudan,Sudan Civil War,Missile Strike,39,Associated Press,Missile Strike reported in Sudan related to Sudan Civil War.,12.1212,30.2714
2023-06-01,Myanmar,Myanmar Conflict,Cyber Operation,0,The Guardian,Cyber Operation reported in Myanmar related to Myanmar Conflict.,22.8568,95.5716
2023-06-02,Sudan,Sudan Civil War,Missile Strike,28,Associated Press,Missile Strike reported in Sudan related to Sudan Civil War.,12.3439,30.3905
2023-06-04,Sudan,Sudan Civil War,Ground Combat,64,Al Jazeera,Ground Combat reported in Sudan related to Sudan Civil War.,12.1488,30.9833
2023-06-05,Sudan,Sudan Civil War,Drone Attack,43,Al Jazeera,Drone Attack reported in Sudan related to Sudan Civil War.,13.0653,29.9765
2023-06-05,Myanmar,Myanmar Conflict,Drone Attack,7,BBC,Drone Attack reported in Myanmar related to Myanmar Conflict.,21.8793,96.5669
2023-06-06,Sudan,Sudan Civil War,Airstrike,22,BBC,Airstrike reported in Sudan related to Sudan Civil War.,12.4037,29.4767
2023-06-07,Myanmar,Myanmar Conflict,Missile Strike,0,Reuters,Missile Strike reported in Myanmar related to Myanmar Conflict.,22.1851,96.5593
2023-06-07,Myanmar,Myanmar Conflict,Ground Combat,16,BBC,Ground Combat reported in Myanmar related to Myanmar Conflict.,21.3225,95.0237
2023-06-08,Sudan,Sudan Civil War,Drone Attack,30,The Guardian,Drone Attack reported in Sudan related to Sudan Civil War.,13.8604,30.396
2023-06-13,Yemen,Yemen Civil War,Ground Combat,34,Al Jazeera,Ground Combat reported in Yemen related to Yemen Civil War.,16.4636,48.721
2023-06-13,Yemen,Yemen Civil War,Missile Strike,0,The Guardian,Missile Strike reported in Yemen related to Yemen Civil War.,14.9724,49.4076
2023-06-14,Sudan,Sudan Civil War,Drone Attack,27,Reuters,Drone Attack reported in Sudan related to Sudan Civil War.,11.8894,30.0548
2023-06-15,Yemen,Yemen Civil War,Ground Combat,13,Reuters,Ground Combat reported in Yemen related to Yemen Civil War.,15.2901,47.7991
2023-06-17,Yemen,Yemen Civil War,Political Negotiation,38,Associated Press,Political Negotiation reported in Yemen related to Yemen Civil War.,14.6848,48.99
2023-06-18,Sudan,Sudan Civil War,Drone Attack,26,The Guardian,Drone Attack reported in Sudan related to Sudan Civil War.,12.651,29.5357
